state,county,date,sex,age,caseState,count
3,3401,0,1,3,0,1
5,5315,18,0,5,0,1
2,2000,20,0,3,0,1
5,5370,22,1,2,0,1
5,5370,22,1,3,0,1
5,5370,22,0,3,0,1
5,5166,23,0,4,0,1
5,5315,23,0,2,0,1
5,5370,23,0,1,0,1
5,5370,23,1,2,0,1
5,5370,23,1,2,0,1
5,5370,23,1,2,0,2
5,5370,23,1,2,0,1
5,5370,23,0,2,0,1
5,5370,23,0,2,0,1
5,5370,23,0,2,0,1
5,5370,23,1,3,0,1
5,5370,23,1,3,0,1
5,5370,23,0,3,0,1
5,5370,23,0,3,0,2
5,5370,23,0,3,0,1
5,5370,23,0,3,0,1
5,5370,23,0,3,0,1
1,1060,24,1,4,0,1
5,5170,24,0,2,0,1
5,5314,24,1,2,0,1
5,5334,24,0,2,0,1
5,5370,24,1,0,0,1
5,5370,24,0,0,0,2
5,5370,24,0,1,0,1
5,5370,24,1,2,0,1
5,5370,24,1,2,0,1
5,5370,24,1,2,0,2
5,5370,24,0,2,0,1
5,5370,24,0,2,0,2
5,5370,24,0,2,0,1
5,5370,24,0,2,0,1
5,5370,24,0,2,0,1
5,5370,24,0,2,0,2
5,5370,24,1,3,0,1
5,5370,24,1,3,0,2
5,5370,24,1,3,0,1
5,5370,24,0,3,0,2
5,5370,24,0,3,0,1
5,5370,24,0,3,0,1
5,5370,24,0,3,0,1
5,5370,24,0,3,0,1
5,5370,24,1,4,0,1
5,5370,24,1,4,0,1
5,5370,24,0,4,0,1
5,5962,24,1,2,0,1
6,6531,24,0,2,0,1
1,1003,25,1,3,0,1
2,2000,25,0,3,0,1
5,5315,25,1,2,0,2
5,5334,25,1,2,0,1
5,5334,25,0,3,0,1
5,5370,25,1,1,0,1
5,5370,25,1,2,0,1
5,5370,25,0,2,0,1
5,5370,25,0,2,0,1
5,5370,25,1,3,0,1
5,5370,25,1,3,0,2
5,5370,25,1,3,0,1
5,5370,25,0,3,0,1
5,5370,25,0,4,0,1
2,2000,26,0,4,0,1
3,3241,26,1,4,0,1
4,4011,26,0,3,0,1
5,5112,26,0,2,0,1
5,5315,26,0,2,0,1
5,5315,26,0,2,0,1
5,5334,26,1,2,0,1
5,5334,26,0,2,0,1
5,5334,26,0,2,0,1
5,5334,26,0,2,0,1
5,5358,26,1,2,0,1
5,5370,26,1,2,0,1
5,5370,26,1,2,0,1
5,5370,26,0,2,0,1
5,5370,26,0,2,0,3
5,5370,26,1,3,0,1
5,5370,26,1,3,0,1
5,5370,26,1,3,0,1
5,5370,26,0,3,0,1
5,5370,26,0,3,0,1
5,5370,26,0,3,0,2
5,5370,26,1,4,0,1
5,5370,26,0,4,0,1
5,5515,26,1,3,0,1
6,6531,26,1,2,0,1
6,6532,26,1,2,0,1
6,6532,26,1,3,0,1
1,1053,27,0,2,0,1
1,1062,27,0,3,0,1
3,3352,27,1,4,0,1
3,3352,27,0,4,0,1
4,4011,27,1,3,0,1
5,5113,27,0,3,0,1
5,5162,27,1,2,0,1
5,5315,27,0,3,0,1
5,5334,27,0,2,0,1
5,5358,27,1,2,0,1
5,5370,27,1,2,0,1
5,5370,27,0,2,0,1
5,5370,27,1,3,0,1
5,5370,27,1,3,0,1
5,5370,27,1,3,0,1
5,5370,27,1,3,0,2
5,5370,27,0,4,0,1
5,5378,27,0,4,0,1
5,5554,27,0,2,0,1
6,6412,27,1,2,0,2
6,6412,27,1,2,0,1
6,6434,27,1,2,0,1
1,1056,28,1,3,0,1
2,2000,28,1,4,0,1
3,3241,28,1,4,0,1
3,3352,28,1,2,0,1
3,3352,28,0,2,0,1
3,3357,28,1,4,0,1
3,3357,28,0,4,0,1
3,3451,28,1,2,0,1
4,4011,28,1,3,0,1
4,4011,28,0,3,0,1
5,5162,28,1,3,0,1
5,5166,28,1,2,0,1
5,5315,28,0,2,0,1
5,5315,28,1,3,0,1
5,5315,28,1,3,0,2
5,5315,28,0,3,0,1
5,5315,28,0,3,0,1
5,5370,28,1,2,0,1
5,5370,28,1,2,0,2
5,5370,28,0,2,0,1
5,5370,28,0,2,0,1
5,5370,28,0,2,0,2
5,5370,28,1,3,0,1
5,5370,28,1,3,0,2
5,5370,28,1,3,0,1
5,5370,28,1,3,0,1
5,5370,28,1,3,0,1
5,5370,28,0,3,0,1
5,5370,28,1,4,0,1
5,5370,28,0,4,0,1
5,5370,28,0,4,0,1
5,5374,28,1,2,0,1
5,5378,28,1,3,0,1
5,5378,28,1,4,0,1
5,5382,28,0,1,0,1
5,5382,28,0,3,0,1
5,5911,28,1,2,0,1
6,6431,28,0,3,0,1
