IdBundesland,IdLandkreis,Landkreis
1,01001,SK Flensburg
1,01002,SK Kiel
1,01003,SK Lübeck
1,01004,SK Neumünster
1,01051,LK Dithmarschen
1,01053,LK Herzogtum Lauenburg
1,01054,LK Nordfriesland
1,01055,LK Ostholstein
1,01056,LK Pinneberg
1,01057,LK Plön
1,01058,LK Rendsburg-Eckernförde
1,01059,LK Schleswig-Flensburg
1,01060,LK Segeberg
1,01061,LK Steinburg
1,01062,LK Stormarn
2,02000,SK Hamburg
3,03101,SK Braunschweig
3,03102,SK Salzgitter
3,03103,SK Wolfsburg
3,03151,LK Gifhorn
3,03153,LK Goslar
3,03154,LK Helmstedt
3,03155,LK Northeim
3,03157,LK Peine
3,03158,LK Wolfenbüttel
3,03159,LK Göttingen
3,03241,Region Hannover
3,03251,LK Diepholz
3,03252,LK Hameln-Pyrmont
3,03254,LK Hildesheim
3,03255,LK Holzminden
3,03256,LK Nienburg (Weser)
3,03257,LK Schaumburg
3,03351,LK Celle
3,03352,LK Cuxhaven
3,03353,LK Harburg
3,03354,LK Lüchow-Dannenberg
3,03355,LK Lüneburg
3,03356,LK Osterholz
3,03357,LK Rotenburg (Wümme)
3,03358,LK Heidekreis
3,03359,LK Stade
3,03360,LK Uelzen
3,03361,LK Verden
3,03401,SK Delmenhorst
3,03402,SK Emden
3,03403,SK Oldenburg
3,03404,SK Osnabrück
3,03405,SK Wilhelmshaven
3,03451,LK Ammerland
3,03452,LK Aurich
3,03453,LK Cloppenburg
3,03454,LK Emsland
3,03455,LK Friesland
3,03456,LK Grafschaft Bentheim
3,03457,LK Leer
3,03458,LK Oldenburg
3,03459,LK Osnabrück
3,03460,LK Vechta
3,03461,LK Wesermarsch
3,03462,LK Wittmund
4,04011,SK Bremen
4,04012,SK Bremerhaven
5,05111,SK Düsseldorf
5,05112,SK Duisburg
5,05113,SK Essen
5,05114,SK Krefeld
5,05116,SK Mönchengladbach
5,05117,SK Mülheim a.d.Ruhr
5,05119,SK Oberhausen
5,05120,SK Remscheid
5,05122,SK Solingen
5,05124,SK Wuppertal
5,05154,LK Kleve
5,05158,LK Mettmann
5,05162,LK Rhein-Kreis Neuss
5,05166,LK Viersen
5,05170,LK Wesel
5,05314,SK Bonn
5,05315,SK Köln
5,05316,SK Leverkusen
5,05334,StadtRegion Aachen
5,05358,LK Düren
5,05362,LK Rhein-Erft-Kreis
5,05366,LK Euskirchen
5,05370,LK Heinsberg
5,05374,LK Oberbergischer Kreis
5,05378,LK Rheinisch-Bergischer Kreis
5,05382,LK Rhein-Sieg-Kreis
5,05512,SK Bottrop
5,05513,SK Gelsenkirchen
5,05515,SK Münster
5,05554,LK Borken
5,05558,LK Coesfeld
5,05562,LK Recklinghausen
5,05566,LK Steinfurt
5,05570,LK Warendorf
5,05711,SK Bielefeld
5,05754,LK Gütersloh
5,05758,LK Herford
5,05762,LK Höxter
5,05766,LK Lippe
5,05770,LK Minden-Lübbecke
5,05774,LK Paderborn
5,05911,SK Bochum
5,05913,SK Dortmund
5,05914,SK Hagen
5,05915,SK Hamm
5,05916,SK Herne
5,05954,LK Ennepe-Ruhr-Kreis
5,05958,LK Hochsauerlandkreis
5,05962,LK Märkischer Kreis
5,05966,LK Olpe
5,05970,LK Siegen-Wittgenstein
5,05974,LK Soest
5,05978,LK Unna
6,06411,SK Darmstadt
6,06412,SK Frankfurt am Main
6,06413,SK Offenbach
6,06414,SK Wiesbaden
6,06431,LK Bergstraße
6,06432,LK Darmstadt-Dieburg
6,06433,LK Groß-Gerau
6,06434,LK Hochtaunuskreis
6,06435,LK Main-Kinzig-Kreis
6,06436,LK Main-Taunus-Kreis
6,06437,LK Odenwaldkreis
6,06438,LK Offenbach
6,06439,LK Rheingau-Taunus-Kreis
6,06440,LK Wetteraukreis
6,06531,LK Gießen
6,06532,LK Lahn-Dill-Kreis
6,06533,LK Limburg-Weilburg
6,06534,LK Marburg-Biedenkopf
6,06535,LK Vogelsbergkreis
6,06611,SK Kassel
6,06631,LK Fulda
6,06632,LK Hersfeld-Rotenburg
6,06633,LK Kassel
6,06634,LK Schwalm-Eder-Kreis
6,06635,LK Waldeck-Frankenberg
6,06636,LK Werra-Meißner-Kreis
7,07111,SK Koblenz
7,07131,LK Ahrweiler
7,07132,LK Altenkirchen
7,07133,LK Bad Kreuznach
7,07134,LK Birkenfeld
7,07135,LK Cochem-Zell
7,07137,LK Mayen-Koblenz
7,07138,LK Neuwied
7,07140,LK Rhein-Hunsrück-Kreis
7,07141,LK Rhein-Lahn-Kreis
7,07143,LK Westerwaldkreis
7,07211,SK Trier
7,07231,LK Bernkastel-Wittlich
7,07232,LK Bitburg-Prüm
7,07233,LK Vulkaneifel
7,07235,LK Trier-Saarburg
7,07311,SK Frankenthal
7,07312,SK Kaiserslautern
7,07313,SK Landau i.d.Pfalz
7,07314,SK Ludwigshafen
7,07315,SK Mainz
7,07316,SK Neustadt a.d.Weinstraße
7,07317,SK Pirmasens
7,07318,SK Speyer
7,07319,SK Worms
7,07320,SK Zweibrücken
7,07331,LK Alzey-Worms
7,07332,LK Bad Dürkheim
7,07333,LK Donnersbergkreis
7,07334,LK Germersheim
7,07335,LK Kaiserslautern
7,07336,LK Kusel
7,07337,LK Südliche Weinstraße
7,07338,LK Rhein-Pfalz-Kreis
7,07339,LK Mainz-Bingen
7,07340,LK Südwestpfalz
8,08111,SK Stuttgart
8,08115,LK Böblingen
8,08116,LK Esslingen
8,08117,LK Göppingen
8,08118,LK Ludwigsburg
8,08119,LK Rems-Murr-Kreis
8,08121,SK Heilbronn
8,08125,LK Heilbronn
8,08126,LK Hohenlohekreis
8,08127,LK Schwäbisch Hall
8,08128,LK Main-Tauber-Kreis
8,08135,LK Heidenheim
8,08136,LK Ostalbkreis
8,08211,SK Baden-Baden
8,08212,SK Karlsruhe
8,08215,LK Karlsruhe
8,08216,LK Rastatt
8,08221,SK Heidelberg
8,08222,SK Mannheim
8,08225,LK Neckar-Odenwald-Kreis
8,08226,LK Rhein-Neckar-Kreis
8,08231,SK Pforzheim
8,08235,LK Calw
8,08236,LK Enzkreis
8,08237,LK Freudenstadt
8,08311,SK Freiburg i.Breisgau
