IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
3,03401,A35-A59,M,1,0,1580774400000
5,05315,A60-A79,W,1,0,1581465600000
5,05315,A80+,W,1,0,1582156800000
5,05315,A80+,W,1,0,1582329600000
1,01062,A80+,W,1,0,1582502400000
5,05315,A15-A34,W,1,0,1582761600000
1,01060,A60-A79,M,1,0,1582848000000
2,02000,A00-A04,W,1,0,1582848000000
5,05116,A15-A34,M,1,0,1582848000000
5,05166,A60-A79,W,1,0,1582848000000
5,05170,A15-A34,W,1,0,1582848000000
5,05314,A15-A34,M,1,0,1582848000000
1,01003,A35-A59,M,1,0,1582934400000
2,02000,A35-A59,W,1,0,1582934400000
5,05315,A15-A34,M,2,0,1582934400000
2,02000,A60-A79,M,1,0,1583020800000
2,02000,A60-A79,W,1,0,1583020800000
3,03241,A60-A79,M,1,0,1583020800000
4,04011,A35-A59,W,1,0,1583020800000
5,05112,A15-A34,W,1,0,1583020800000
5,05315,A15-A34,W,1,0,1583020800000
5,05315,A15-A34,W,1,0,1583020800000
1,01053,A15-A34,W,1,0,1583107200000
1,01062,A35-A59,W,1,0,1583107200000
3,03352,A60-A79,M,1,0,1583107200000
3,03352,A60-A79,W,1,0,1583107200000
4,04011,A35-A59,M,1,0,1583107200000
5,05162,A15-A34,M,1,0,1583107200000
5,05315,A35-A59,W,1,0,1583107200000
1,01056,A35-A59,M,1,0,1583193600000
2,02000,A15-A34,W,1,0,1583193600000
2,02000,A35-A59,M,1,0,1583193600000
2,02000,A60-A79,M,1,0,1583193600000
3,03241,A60-A79,M,1,0,1583193600000
3,03352,A15-A34,M,1,0,1583193600000
3,03352,A15-A34,W,1,0,1583193600000
3,03357,A60-A79,M,1,0,1583193600000
3,03357,A60-A79,W,1,0,1583193600000
3,03451,A15-A34,M,1,0,1583193600000
4,04011,A35-A59,M,1,0,1583193600000
4,04011,A35-A59,W,1,0,1583193600000
5,05162,A35-A59,M,1,0,1583193600000
5,05166,A15-A34,M,1,0,1583193600000
5,05315,A15-A34,W,1,0,1583193600000
5,05315,A35-A59,M,1,0,1583193600000
5,05315,A35-A59,M,1,0,1583193600000
5,05315,A35-A59,M,1,0,1583193600000
5,05315,A35-A59,W,1,0,1583193600000
5,05315,A35-A59,W,1,0,1583193600000
2,02000,A00-A04,W,1,0,1583280000000
2,02000,A35-A59,M,1,0,1583280000000
2,02000,A35-A59,W,1,0,1583280000000
2,02000,A35-A59,W,1,0,1583280000000
3,03241,A60-A79,M,1,0,1583280000000
3,03403,A35-A59,M,1,0,1583280000000
3,03456,A15-A34,M,1,0,1583280000000
3,03457,A15-A34,W,1,0,1583280000000
5,05111,A35-A59,M,1,0,1583280000000
5,05111,A35-A59,M,1,0,1583280000000
5,05112,A15-A34,W,1,0,1583280000000
5,05116,A35-A59,M,1,0,1583280000000
5,05116,A35-A59,W,1,0,1583280000000
5,05162,A15-A34,M,1,0,1583280000000
5,05162,A35-A59,M,1,0,1583280000000
5,05162,A35-A59,W,1,0,1583280000000
5,05315,A35-A59,M,1,0,1583280000000
5,05315,A60-A79,M,1,0,1583280000000
1,01051,A15-A34,W,1,0,1583366400000
2,02000,A15-A34,W,1,0,1583366400000
2,02000,A15-A34,W,2,0,1583366400000
2,02000,A35-A59,M,1,0,1583366400000
2,02000,A35-A59,M,1,0,1583366400000
2,02000,A35-A59,W,1,0,1583366400000
2,02000,A35-A59,W,1,0,1583366400000
2,02000,A60-A79,M,1,0,1583366400000
2,02000,A60-A79,W,1,0,1583366400000
3,03101,A15-A34,W,1,0,1583366400000
3,03351,A15-A34,M,1,0,1583366400000
3,03351,A15-A34,W,1,0,1583366400000
3,03351,A35-A59,M,1,0,1583366400000
3,03359,A35-A59,M,1,0,1583366400000
3,03459,A35-A59,M,1,0,1583366400000
5,05116,A15-A34,W,1,0,1583366400000
5,05166,A15-A34,M,1,0,1583366400000
5,05166,A35-A59,W,1,0,1583366400000
5,05315,A15-A34,M,1,0,1583366400000
5,05315,A35-A59,M,1,0,1583366400000
5,05315,A60-A79,M,1,0,1583366400000
5,05315,A60-A79,W,1,0,1583366400000
5,05315,A80+,W,1,0,1583366400000
1,01056,A60-A79,W,1,0,1583452800000
1,01060,A60-A79,W,1,0,1583452800000
2,02000,A15-A34,M,1,0,1583452800000
2,02000,A15-A34,W,1,0,1583452800000
2,02000,A60-A79,M,1,0,1583452800000
2,02000,A60-A79,M,1,1,1583452800000
3,03241,A35-A59,M,1,0,1583452800000
3,03241,A60-A79,W,1,0,1583452800000
3,03353,A00-A04,M,1,0,1583452800000
3,03353,A35-A59,M,1,0,1583452800000
3,03353,A35-A59,W,1,0,1583452800000
3,03359,A35-A59,W,1,0,1583452800000
3,03459,A60-A79,M,1,0,1583452800000
5,05111,A15-A34,M,1,0,1583452800000
5,05112,A35-A59,M,1,0,1583452800000
5,05116,A35-A59,M,1,0,1583452800000
5,05116,A60-A79,M,1,0,1583452800000
5,05116,A60-A79,W,1,0,1583452800000
5,05158,A35-A59,W,1,0,1583452800000
5,05314,A35-A59,M,1,0,1583452800000
5,05315,A15-A34,M,1,0,1583452800000
5,05315,A35-A59,M,1,0,1583452800000
5,05315,A35-A59,M,1,0,1583452800000
5,05315,A35-A59,M,1,0,1583452800000
5,05315,A35-A59,M,1,0,1583452800000
5,05315,A35-A59,M,1,0,1583452800000
5,05315,A35-A59,W,1,0,1583452800000
5,05315,A35-A59,W,1,0,1583452800000
5,05315,A60-A79,W,1,0,1583452800000
5,05315,A80+,W,1,1,1583452800000
2,02000,A05-A14,W,1,0,1583539200000
2,02000,A15-A34,M,1,0,1583539200000
2,02000,A35-A59,M,1,0,1583539200000
2,02000,A35-A59,W,1,0,1583539200000
3,03241,A35-A59,W,1,0,1583539200000
3,03254,A35-A59,M,1,0,1583539200000
3,03353,A35-A59,M,1,0,1583539200000
3,03359,A35-A59,M,1,0,1583539200000
3,03359,A35-A59,W,1,0,1583539200000
3,03359,A35-A59,W,1,0,1583539200000
3,03405,A15-A34,M,1,0,1583539200000
3,03405,A35-A59,M,1,0,1583539200000
5,05113,A35-A59,M,1,0,1583539200000
5,05113,A35-A59,W,1,0,1583539200000
