IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
8,08115,A15-A34,M,1,0,1578182400000
9,09181,A15-A34,M,1,0,1580169600000
9,09188,A35-A59,M,1,0,1580169600000
9,09162,A15-A34,W,1,0,1580256000000
9,09179,A15-A34,M,1,0,1580256000000
8,08222,A15-A34,W,1,0,1580342400000
8,08336,A35-A59,M,1,0,1580342400000
8,08118,A35-A59,M,1,0,1580428800000
9,09179,A35-A59,M,1,0,1580428800000
9,09189,A00-A04,W,1,0,1580428800000
9,09189,A35-A59,M,1,0,1580428800000
9,09777,A15-A34,W,1,0,1580428800000
8,08335,A35-A59,W,1,0,1580601600000
9,09162,A15-A34,M,1,0,1580688000000
3,03401,A35-A59,M,1,0,1580774400000
9,09162,A05-A14,M,1,0,1580774400000
9,09184,A35-A59,M,1,0,1580774400000
9,09189,A00-A04,M,1,0,1580774400000
12,12065,A60-A79,M,1,0,1580774400000
9,09189,A35-A59,W,1,0,1580947200000
9,09179,A35-A59,W,1,0,1581033600000
9,09162,A35-A59,M,1,0,1581379200000
9,09188,A00-A04,M,1,0,1581379200000
9,09178,A35-A59,W,1,0,1581465600000
5,05315,A80+,W,1,0,1582329600000
8,08118,A35-A59,M,1,0,1582416000000
8,08118,A60-A79,M,1,0,1582416000000
8,08118,A60-A79,W,2,0,1582416000000
8,08118,A80+,M,1,0,1582416000000
8,08118,A80+,W,3,0,1582416000000
8,08212,A15-A34,M,1,0,1582416000000
8,08215,A35-A59,M,1,0,1582416000000
8,08335,A60-A79,M,1,0,1582416000000
8,08436,A15-A34,M,1,0,1582416000000
2,02000,A35-A59,W,1,0,1582502400000
8,08417,A15-A34,M,1,0,1582502400000
8,08436,A35-A59,W,1,0,1582502400000
9,09162,A60-A79,M,1,0,1582502400000
8,08117,A15-A34,M,1,0,1582588800000
8,08416,A15-A34,W,1,0,1582588800000
5,05370,A15-A34,M,1,0,1582675200000
5,05370,A35-A59,M,1,0,1582675200000
5,05370,A35-A59,W,1,0,1582675200000
8,08116,A60-A79,M,1,0,1582675200000
8,08311,A15-A34,W,1,0,1582675200000
8,08315,A35-A59,M,1,0,1582675200000
8,08325,A15-A34,M,1,0,1582675200000
8,08416,A35-A59,M,1,0,1582675200000
8,08417,A60-A79,W,1,0,1582675200000
5,05166,A60-A79,W,1,0,1582761600000
5,05315,A15-A34,W,1,0,1582761600000
5,05370,A05-A14,W,1,0,1582761600000
5,05370,A15-A34,M,1,0,1582761600000
5,05370,A15-A34,M,1,0,1582761600000
5,05370,A15-A34,M,2,0,1582761600000
5,05370,A15-A34,M,1,0,1582761600000
5,05370,A15-A34,W,1,0,1582761600000
5,05370,A15-A34,W,1,0,1582761600000
5,05370,A15-A34,W,1,0,1582761600000
5,05370,A35-A59,M,1,0,1582761600000
5,05370,A35-A59,M,1,0,1582761600000
5,05370,A35-A59,W,1,0,1582761600000
5,05370,A35-A59,W,2,0,1582761600000
5,05370,A35-A59,W,1,0,1582761600000
5,05370,A35-A59,W,1,0,1582761600000
5,05370,A35-A59,W,1,0,1582761600000
8,08115,A15-A34,M,1,0,1582761600000
8,08118,A60-A79,M,1,0,1582761600000
8,08315,A35-A59,W,1,0,1582761600000
9,09562,A60-A79,M,1,0,1582761600000
1,01060,A60-A79,M,1,0,1582848000000
5,05170,A15-A34,W,1,0,1582848000000
5,05314,A15-A34,M,1,0,1582848000000
5,05334,A15-A34,W,1,0,1582848000000
5,05370,A00-A04,M,1,0,1582848000000
5,05370,A00-A04,W,2,0,1582848000000
5,05370,A05-A14,W,1,0,1582848000000
5,05370,A15-A34,M,1,0,1582848000000
5,05370,A15-A34,M,1,0,1582848000000
5,05370,A15-A34,M,2,0,1582848000000
5,05370,A15-A34,W,1,0,1582848000000
5,05370,A15-A34,W,2,0,1582848000000
5,05370,A15-A34,W,1,0,1582848000000
5,05370,A15-A34,W,1,0,1582848000000
5,05370,A15-A34,W,1,0,1582848000000
5,05370,A15-A34,W,2,0,1582848000000
5,05370,A35-A59,M,1,0,1582848000000
5,05370,A35-A59,M,2,0,1582848000000
5,05370,A35-A59,M,1,0,1582848000000
5,05370,A35-A59,W,2,0,1582848000000
5,05370,A35-A59,W,1,0,1582848000000
5,05370,A35-A59,W,1,0,1582848000000
5,05370,A35-A59,W,1,0,1582848000000
5,05370,A35-A59,W,1,0,1582848000000
5,05370,A60-A79,M,1,0,1582848000000
5,05370,A60-A79,M,1,0,1582848000000
5,05370,A60-A79,W,1,0,1582848000000
5,05962,A15-A34,M,1,0,1582848000000
6,06531,A15-A34,W,1,0,1582848000000
7,07312,A15-A34,M,1,0,1582848000000
8,08118,A60-A79,W,1,0,1582848000000
8,08125,A15-A34,M,1,0,1582848000000
8,08226,A35-A59,M,1,0,1582848000000
8,08315,A35-A59,M,1,0,1582848000000
8,08425,A35-A59,M,1,0,1582848000000
9,09162,A15-A34,M,1,0,1582848000000
