id,name,stateId
1001,SK Flensburg,1
1002,SK Kiel,1
1003,SK Lübeck,1
1004,SK Neumünster,1
1051,LK Dithmarschen,1
1053,LK Herzogtum Lauenburg,1
1054,LK Nordfriesland,1
1055,LK Ostholstein,1
1056,LK Pinneberg,1
1057,LK Plön,1
1058,LK Rendsburg-Eckernförde,1
1059,LK Schleswig-Flensburg,1
1060,LK Segeberg,1
1061,LK Steinburg,1
1062,LK Stormarn,1
2000,SK Hamburg,2
3101,SK Braunschweig,3
3102,SK Salzgitter,3
3103,SK Wolfsburg,3
3151,LK Gifhorn,3
3153,LK Goslar,3
3154,LK Helmstedt,3
3155,LK Northeim,3
3157,LK Peine,3
3158,LK Wolfenbüttel,3
3159,LK Göttingen,3
3241,Region Hannover,3
3251,LK Diepholz,3
3252,LK Hameln-Pyrmont,3
3254,LK Hildesheim,3
3255,LK Holzminden,3
3256,LK Nienburg (Weser),3
3257,LK Schaumburg,3
3351,LK Celle,3
3352,LK Cuxhaven,3
3353,LK Harburg,3
3354,LK Lüchow-Dannenberg,3
3355,LK Lüneburg,3
3356,LK Osterholz,3
3357,LK Rotenburg (Wümme),3
3358,LK Heidekreis,3
3359,LK Stade,3
3360,LK Uelzen,3
3361,LK Verden,3
3401,SK Delmenhorst,3
3402,SK Emden,3
3403,SK Oldenburg,3
3404,SK Osnabrück,3
3405,SK Wilhelmshaven,3
3451,LK Ammerland,3
3452,LK Aurich,3
3453,LK Cloppenburg,3
3454,LK Emsland,3
3455,LK Friesland,3
3456,LK Grafschaft Bentheim,3
3457,LK Leer,3
3458,LK Oldenburg,3
3459,LK Osnabrück,3
3460,LK Vechta,3
3461,LK Wesermarsch,3
3462,LK Wittmund,3
4011,SK Bremen,4
4012,SK Bremerhaven,4
5111,SK Düsseldorf,5
5112,SK Duisburg,5
5113,SK Essen,5
5114,SK Krefeld,5
5116,SK Mönchengladbach,5
5117,SK Mülheim a.d.Ruhr,5
5119,SK Oberhausen,5
5120,SK Remscheid,5
5122,SK Solingen,5
5124,SK Wuppertal,5
5154,LK Kleve,5
5158,LK Mettmann,5
5162,LK Rhein-Kreis Neuss,5
5166,LK Viersen,5
5170,LK Wesel,5
5314,SK Bonn,5
5315,SK Köln,5
5316,SK Leverkusen,5
5334,StadtRegion Aachen,5
5358,LK Düren,5
5362,LK Rhein-Erft-Kreis,5
5366,LK Euskirchen,5
